x,y,z,timestamp
-12,59,25,1712017398656250
-11,58,25,1712017398687500
-11,58,25,1712017398718750
-11,59,25,1712017398750000
-12,57,25,1712017398781250
-12,58,25,1712017398812500
-11,59,24,1712017398843750
-12,58,24,1712017398875000
-11,58,24,1712017398906250
-11,59,24,1712017398937500
-11,58,25,1712017398968750
-11,59,25,1712017399000000
-10,59,24,1712017399031250
-11,58,25,1712017399062500
-10,59,24,1712017399093750
-10,59,23,1712017399125000
-12,58,25,1712017399156250
-10,58,25,1712017399187500
-10,59,24,1712017399218750
-9,58,24,1712017399250000
-10,57,26,1712017399281250
-13,57,24,1712017399312500
-13,60,23,1712017399343750
-13,60,24,1712017399375000
-13,59,25,1712017399406250
